Time (s),Speed (km/h),Normalized current (A)
153,0.0,0.00395952848995265
154,0.0,0.0039595447469120875
155,0.0,0.003959559520550066
156,0.0,0.003959572952003586
157,0.0,0.003959585168967135
158,0.0,0.003959596287016339
159,0.0,0.003959606410694348
160,0.0,0.003959615634635691
161,0.0,0.0039596240444403795
162,0.0,0.003959631717579233
163,0.0,0.003959638724149358
164,5.3108352000000005,0.05529517542211251
165,10.621670400000001,0.16774579893351219
166,15.9325056,0.2774885095374365
167,21.243340800000002,0.38783098167943303
168,26.554176,0.49890882025688355
169,31.8650112,0.6108579909728051
170,35.72743680000001,0.5274826803904327
171,39.1070592,0.5186418584993788
172,41.521075200000006,0.4166063224023687
173,42.486681600000004,0.21163029770506162
174,41.360140799999996,-0.07366374330984143
175,40.3945344,-0.055514564011688756
176,39.7507968,-0.022167813643447828
177,40.2336,0.1302413843914868
178,40.55546880000001,0.10796745499072014
179,40.8773376,0.10892921519750137
180,41.521075200000006,0.15875845085665313
181,43.7741568,0.4162695847521475
182,42.647616,-0.07560311967820385
183,38.624256,-0.3659220307468461
184,36.532108799999996,-0.1576784353197685
185,31.2212736,-0.4147013062256634
186,28.4853888,-0.17396972248023745
187,27.6807168,-0.027716688503604377
188,29.1291264,0.19074806926743798
189,29.933798400000004,0.12904284227666113
190,32.18688,0.3003397798859854
191,35.72743680000001,0.4895376838264595
192,39.428928,0.5652959770080609
193,43.9350912,0.7530683763617523
194,49.084992,0.9549542575685428
195,53.913024,1.0
196,58.2582528,0.9926413559140624
197,60.02853119999999,0.48494146739301036
198,63.247219199999996,0.8383248679806302
199,65.178432,0.5698473353387317
200,67.7533824,0.7508390073731346
201,70.006464,0.6989762952659891
202,72.5814144,0.8119415263886515
203,74.029824,0.5318499118750205
204,75.31729920000001,0.49936652156327815
205,76.44384000000001,0.46417168487203775
206,76.44384000000001,0.1524657815106278
207,76.12197119999999,0.062288086622597744
208,75.96103680000002,0.10635625534199415
209,75.639168,0.061186878125438424
210,75.639168,0.14961149181561584
211,75.639168,0.14959514137499055
212,75.639168,0.14958044023771208
213,75.639168,0.14956723096679025
214,75.96103680000002,0.23925337876217867
215,76.2829056,0.24072381108804236
216,77.0875776,0.3790063324248121
217,78.053184,0.43059597568515406
218,79.0187904,0.4374809359766215
219,79.662528,0.3494567597207005
220,80.4672,0.4011225183415266
221,81.4328064,0.45493012061969956
222,82.07654400000001,0.3641280331146932
223,82.881216,0.417353144111682
224,84.00775680000001,0.5228168455691137
225,85.6171008,0.6852126130213204
226,87.06551040000001,0.6491934126913134
227,87.8701824,0.45219067393750373
228,88.3529856,0.3525513317618296
229,88.51392,0.25012028879661774
230,88.3529856,0.14604731700011298
231,87.8701824,0.04148991824376219
232,87.8701824,0.19563153906971117
233,88.19205120000001,0.2999686584076024
234,88.6748544,0.3543115173943098
235,89.318592,0.41029223017027255
236,89.6404608,0.3078186785613978
237,90.28419840000001,0.41673300808431607
238,90.6060672,0.31313390611229175
239,91.0888704,0.3689915694803537
240,91.2498048,0.26340940344817887
241,91.2498048,0.2100813767935699
242,90.927936,0.10234183767955891
243,90.927936,0.20863943311620486
244,90.927936,0.2086316146011467
245,90.927936,0.2086247181621292
246,90.927936,0.20861859873591548
247,90.927936,0.20861320625088162
248,90.76700160000001,0.15486532626716434
249,90.28419840000001,0.04746924696157978
250,89.8013952,0.046233104324510506
251,88.6748544,-0.11241845090467793
252,87.8701824,-0.041224744234860534
253,87.22644480000001,-0.006453157636568528
254,86.904576,0.08996416242844044
255,86.4217728,0.03803974960973475
256,86.2608384,0.1384893377289665
257,86.7436416,0.34260844412807157
258,86.904576,0.24222317387227418
259,87.06551040000001,0.24298929104207406
260,87.06551040000001,0.19217745738764755
261,86.5827072,0.03841905205779482
262,85.93896960000001,-0.007998110120443965
263,85.295232,-0.008741431429626991
264,84.6514944,-0.00946598701374659
265,83.8468224,-0.0442972161893761
266,84.3296256,0.32866079537401527
267,83.685888,-0.010518779701805089
268,83.5249536,0.12926342941576846
269,83.2030848,0.07960191518833556
270,82.881216,0.07874269801015449
271,83.04215040000001,0.2246187683660218
272,83.3640192,0.2746691943794972
273,83.8468224,0.3259942989112564
274,84.49056,0.3788991218533635
275,85.295232,0.43369587785202063
276,86.09990400000001,0.439357813696593
277,86.904576,0.4450606022851545
278,88.3529856,0.6611508014006298
279,89.15765760000001,0.46126134218928044
280,89.4795264,0.30698566124279764
281,90.123264,0.41572575590417177
282,90.123264,0.20521778515357178
283,89.8013952,0.09880416909727399
284,88.8357888,-0.07641963948809713
285,87.709248,-0.11253733392422105
286,86.2608384,-0.1826603726281274
287,84.49056,-0.2499493986204971
288,82.881216,-0.21334608494153504
289,82.881216,0.17557601512143692
290,82.881216,0.1755835870408115
291,82.2374784,-0.012022675364445245
292,80.62813440000001,-0.21014530246112012
293,80.4672,0.11952655475241371
294,80.62813440000001,0.2141365511457236
295,80.4672,0.11953882440516148
296,79.8234624,-0.014323012937634067
297,79.662528,0.11706962587051975
298,79.662528,0.16358349021596663
299,79.662528,0.1635907359537616
300,79.0187904,-0.015035894297661766
301,78.2141184,-0.04742056326380809
302,77.40944640000001,-0.04775346094129343
303,75.96103680000002,-0.17186837521798912
304,74.19075839999999,-0.23018527158849922
305,72.42048000000001,-0.22634572724000998
306,70.4892672,-0.2509221965270665
307,68.5580544,-0.24569400859685545
308,66.78777600000001,-0.21335972452921673
309,64.85656320000001,-0.2353067280620971
310,61.959744,-0.38088190969975183
311,59.545728,-0.29350968135369354
312,56.6489088,-0.35203309795827253
313,54.39582719999999,-0.2486318684997992
314,52.30368,-0.21844717783565135
315,50.694336,-0.14947060114394198
316,49.245926399999995,-0.12548142214521016
317,49.084992,0.04896308374422071
318,48.280319999999996,-0.044151211274033195
319,46.670976,-0.13920366117118316
320,44.25696,-0.22539781233916686
321,39.9117312,-0.41209491728599656
322,34.600896,-0.4552885085144118
323,32.347814400000004,-0.15434669611925686
324,30.738470400000004,-0.09472116138252487
325,29.772864,-0.04205318369789039
326,27.358848000000002,-0.1434897105259714
327,24.944832,-0.13136595712952634
328,20.1168,-0.24912135750866027
329,17.3809152,-0.10880800333319246
330,12.874752,-0.1543631519367371
331,7.563916799999999,-0.12381328474721057
332,2.2530816,-0.05751056433159442
333,0.0,-0.00149548886683932
334,0.0,0.003961341548144959
335,0.0,0.003961612773368178
336,0.0,0.003961858281644371
337,0.0,0.003962080514428227
338,0.0,0.0039622816818983145
339,0.0,0.003962463784772284
340,0.0,0.003962628634074162
341,0.0,0.003962777869059785
342,0.0,0.003962912973475176
343,0.0,0.003963035290241542
344,0.0,0.003963146034822857
345,0.0,0.0039632463072510745
346,0.0,0.003963337103114895
347,1.609344,0.008679099227418307
348,6.9201792,0.09163036062889453
349,12.231014400000001,0.2011455822340779
350,17.5418496,0.31117013966731316
351,22.8526848,0.42183931230692506
352,27.8416512,0.4998069818933395
353,32.18688,0.5214941879143116
354,36.210240000000006,0.5547607747730134
355,38.1414528,0.3176092727854779
356,40.55546880000001,0.4066934556268264
357,42.8085504,0.4070507655157486
358,45.2225664,0.45697751310819273
359,48.280319999999996,0.5979588361994314
360,49.5677952,0.30794381909138696
361,50.8552704,0.31679107980711685
362,51.6599424,0.23326550928510373
363,52.7864832,0.29988505117301406
364,54.073958399999995,0.33919005918006556
365,55.522368,0.38126471090923575
366,55.6833024,0.12509081090345447
367,56.1661056,0.19184219430543784
368,56.0051712,0.06063402453694999
369,55.522368,-0.0024653190922773126
370,55.844236800000004,0.158022526051186
371,57.131712,0.36076082552380584
372,57.936384000000004,0.26636084237248164
373,57.936384000000004,0.09805919359673371
374,57.936384000000004,0.09805271458602384
375,57.936384000000004,0.09804688751630466
376,57.936384000000004,0.09804165023381972
377,57.936384000000004,0.0980369465232431
378,58.097318400000006,0.1323084765082709
379,58.5801216,0.20191762573648198
380,58.74105599999999,0.13429456876184323
381,58.5801216,0.06541407797091477
382,57.936384000000004,-0.024874306992988197
383,56.4879744,-0.1405381701000592
384,54.8786304,-0.15997094017777502
385,53.913024,-0.06902545878279276
386,50.5334016,-0.3824485482494193
387,46.670976,-0.41571924723101616
388,41.360140799999996,-0.5363644290723828
389,37.014912,-0.38467403376866965
390,32.6696832,-0.34274121027012705
391,28.163520000000002,-0.3118581999135449
392,23.335488,-0.2848641084790706
393,19.312128,-0.1928665765719639
394,14.0012928,-0.20384331709203982
395,8.6904576,-0.13787694159155567
396,3.3796223999999997,-0.07161228733885242
397,0.0,-0.009013594200929998
398,0.0,0.003962213224678095
399,0.0,0.00396247999339987
400,0.0,0.003962721465101677
401,0.0,0.003962940041466357
402,0.0,0.003963137896653042
403,4.1842944,0.03585161034001583
404,9.495129600000002,0.1446716586027613
405,14.8059648,0.2544207482305878
406,20.1168,0.36474854745884727
407,25.4276352,0.4757898116985149
408,30.738470400000004,0.5876795708335072
409,36.0493056,0.7005536735699501
410,40.2336,0.643013613413906
411,41.1992064,0.20493640545918412
412,44.25696,0.5445289143920052
413,46.670976,0.47282537744725206
414,48.280319999999996,0.35421287967150894
415,48.441254400000005,0.10466579369934612
416,48.280319999999996,0.04786104843803979
417,47.7975168,-0.004968578893982053
418,47.1537792,-0.024317296976218653
419,46.349107200000006,-0.0430892980986583
420,45.061632,-0.09786943657681138
421,40.2336,-0.4694193138030097
422,34.9227648,-0.4598736745372015
423,29.6119296,-0.39565839332551345
424,24.3010944,-0.33089335870034564
425,18.990259200000004,-0.26564163996091933
426,13.679424000000001,-0.19996791193744665
427,8.3685888,-0.13393837520762425
428,3.0577536,-0.06762068512610034
429,0.0,-0.00654297974137754
430,0.0,0.003963860332344042
431,0.0,0.003964006002086051
432,0.0,0.003964137875996956
433,0.0,0.0039642572652429185
434,0.0,0.003964365356504832
435,0.0,0.003964463223797488
436,0.0,0.003964551839114955
437,0.0,0.0039646320821456376
438,0.0,0.003964704748988377
439,0.0,0.003964770560081842
440,0.0,0.003964830167428401
441,0.0,0.00396488416104377
442,0.0,0.003964933074844757
443,0.0,0.003964977392018764
444,0.0,0.0039650175497876776
445,0.0,0.003965053943815853
446,0.0,0.003965086932137361
447,0.0,0.003965116838746059
448,5.3108352000000005,0.05537206623721165
449,10.621670400000001,0.1679805049270376
450,15.9325056,0.2778789193491592
451,21.243340800000002,0.3883793730034978
452,26.554176,0.4996174542817235
453,31.8650112,0.6117291229307973
454,37.175846400000005,0.7248510047076788
455,42.486681600000004,0.8391227738246096
456,44.7397632,0.42697946018952926
457,46.831910400000005,0.42218162459303016
458,50.694336,0.7707884216136945
459,53.108352,0.5441333103221742
