,Time (s),Speed (km/h),Normalized current (A)
73,73,87.22644480000001,0.037386274889414955
74,74,87.5483136,0.12183645897044172
75,75,87.22644480000001,0.03737711450488766
76,76,86.09990400000001,-0.046238631606641344
77,77,84.16869120000001,-0.11656967265159789
78,78,83.685888,0.013139616366749731
79,79,83.5249536,0.05310911541209103
80,80,83.3640192,0.05288936649651087
81,81,83.5249536,0.09315680763890057
82,82,83.685888,0.09345178961594092
83,83,84.49056,0.1758194031003431
84,84,85.93896960000001,0.26206333444338165
85,85,88.3529856,0.3979002730232903
86,86,91.4107392,0.5019074341976608
87,87,94.62942720000001,0.5458885472031808
88,88,97.52624639999999,0.5195005826315351
89,89,100.2621312,0.5134573801530374
90,90,103.3198848,0.5828259335284007
91,91,106.53857280000001,0.6312827981101733
92,92,109.1135232,0.5449919557080205
93,93,111.68847360000001,0.5617024526272166
94,94,113.2978176,0.4077186760647417
95,95,113.6196864,0.1897089325492102
96,96,113.7806208,0.1627077911073316
97,97,113.13688320000001,0.024580089308129348
98,98,109.7572608,-0.29724824369521596
99,99,107.021376,-0.22054316656352435
100,100,104.44642560000001,-0.19982485117753981
101,101,102.5152128,-0.12911740335829655
102,102,100.584,-0.1280922041728898
103,103,98.169984,-0.17591223741418202
104,104,95.43409919999999,-0.20481540340301704
105,105,92.8591488,-0.18539276035356936
106,106,90.123264,-0.19672875310049825
107,107,87.709248,-0.16342676514692953
108,108,84.97336320000001,-0.1883869635258939
109,109,82.3984128,-0.17016586040835588
110,110,79.662528,-0.17929087706051453
111,111,77.248512,-0.1489385039432787
112,112,74.51262720000001,-0.1700180372359207
113,113,70.811136,-0.23542819241291607
114,114,66.1440384,-0.2903578192218173
115,115,62.4425472,-0.21088409525162824
116,116,60.672268800000005,-0.08122940889826451
117,117,58.9019904,-0.07932082886636657
118,118,56.809843199999996,-0.09627957256778392
119,119,48.280319999999996,-0.43150954144988457
120,120,39.2679936,-0.38255466913960234
121,121,31.8650112,-0.2540567192096897
122,122,24.944832,-0.18942177950230812
123,123,17.3809152,-0.15514420872837117
124,124,10.138867200000002,-0.09609415805260496
125,125,5.1499008,-0.035072991528882436
126,126,3.3796223999999997,-0.004718532953175565
127,127,1.9312127999999997,-0.0014449912026395545
128,128,0.0,2.7022348432987723e-05
129,129,0.0,0.0016253445756856696
130,130,0.0,0.0016255650122867225
131,131,0.0,0.0016257645497257706
132,132,0.0,0.0016259451674670797
133,133,0.0,0.0016261086582993458
134,134,0.0,0.0016262566457778634
135,135,0.0,0.0016263906000971297
