SOC,Chg voltage [V],Dchg voltage [V],OCV [V]
0.035,3.35073818579202,3.3087056993700608,3.3297219425810405
0.036000000000000004,3.3565482673663527,3.3149618671160095,3.3357550672411813
0.037,3.3625107,3.3213207259873774,3.3419157129936887
0.038,3.368013324667099,3.3272289394140975,3.347621132040598
0.039,3.37385803196858,3.333397997058261,3.3536280145134203
0.04,3.378931047513719,3.3390434834853684,3.3589872654995436
0.041,3.384243842198517,3.3447717013917955,3.3645077717951564
0.042,3.3896108525817006,3.3504878363633765,3.3700493444725383
0.043000000000000003,3.394663538743697,3.3560243941592995,3.3753439664514984
0.044,3.399609835565042,3.3612670774453783,3.3804384565052104
0.045,3.4043668820616197,3.3664009702516515,3.385383926156636
0.046,3.4092522975397515,3.3713326,3.390292448769876
0.047,3.413823773119934,3.376709205625592,3.395266489372763
0.048,3.418670158819195,3.381505187826844,3.4000876733230196
0.049,3.422693694439826,3.386150068120905,3.4044218812803653
0.05,3.427128862440618,3.3909414,3.409035131220309
0.051000000000000004,3.4315624,3.3956888120411595,3.4136256060205796
0.052000000000000005,3.4356554936427663,3.3998437,3.417749596821383
0.053,3.439701094569222,3.4039818621960976,3.42184147838266
0.054,3.443674907955934,3.408299235291224,3.425987071623579
0.055,3.4474740426975634,3.4125552,3.4300146213487817
0.056,3.4514147423456714,3.4161491739390546,3.433781958142363
0.057,3.4551551264929734,3.4195726,3.4373638632464867
0.058,3.4586612071161396,3.4229299267603897,3.440795566938265
0.059000000000000004,3.4621537795973425,3.425780493082403,3.4439671363398725
0.06,3.465515454533921,3.428562271783098,3.4470388631585096
0.061,3.468737382414579,3.4311370093403952,3.449937195877487
0.062,3.471675242846919,3.4333783959269755,3.4525268193869474
0.063,3.474473681931379,3.435300778978682,3.4548872304550304
0.064,3.4772812121451535,3.4372985094519946,3.457289860798574
0.065,3.479542199897114,3.4388631418277353,3.4592026708624246
0.066,3.4814962759639667,3.4402065755625,3.4608514257632335
0.067,3.483444403602945,3.4416676,3.4625560018014725
0.068,3.484793933794692,3.442772590229613,3.4637832620121527
0.069,3.4860410815284086,3.4440367253516375,3.465038903440023
0.07,3.487218802120047,3.4453487530856264,3.466283777602837
0.07100000000000001,3.487851094683956,3.4462746824842667,3.4670628885841115
0.07200000000000001,3.488631200644334,3.4473217,3.467976450322167
0.073,3.4893053244319243,3.4482038,3.4687545622159623
0.074,3.4901368622919406,3.4491142036090445,3.4696255329504924
0.075,3.490757772191256,3.4501599767026603,3.470458874446958
0.076,3.4912361867783908,3.451051,3.471143593389195
0.077,3.4918429735891308,3.4520135,3.4719282367945654
0.078,3.4923150574468678,3.4526978879053978,3.472506472676133
0.079,3.4930870010994695,3.453401450633427,3.4732442258664484
0.08,3.493351162974549,3.4541760019194987,3.473763582447024
0.081,3.493890931132386,3.454872665506549,3.4743817983194676
0.082,3.494500545073933,3.4555971724156618,3.475048858744797
0.083,3.494966399925276,3.4564031246564495,3.4756847622908627
0.084,3.4955753084072647,3.457092422554722,3.4763338654809934
0.085,3.4960651942752206,3.4576794735020187,3.4768723338886196
0.08600000000000001,3.496484,3.458503040467686,3.477493520233843
0.08700000000000001,3.4970643599127524,3.4588867355791613,3.477975547745957
0.088,3.4974770363001424,3.459634878829159,3.4785559575646507
0.089,3.4980866422169328,3.460172615513196,3.4791296288650644
0.09,3.4986211498622617,3.4609243738554283,3.479772761858845
0.091,3.4991343672634234,3.4615138623934185,3.480324114828421
0.092,3.499647482496683,3.46235502485307,3.4810012536748767
0.093,3.500147790896947,3.462851822389189,3.4814998066430682
0.094,3.500522484925286,3.4634536779211658,3.481988081423226
0.095,3.5011756,3.4639771434393665,3.4825763717196834
0.096,3.5017371,3.4646046,3.48317085
0.097,3.5022124278671556,3.4652863156083034,3.4837493717377295
0.098,3.5027207216078207,3.465840389723551,3.484280555665686
0.099,3.5033025282969215,3.466437983501436,3.4848702558991786
0.1,3.5038935891034995,3.46695462680252,3.4854241079530097
0.101,3.5043521142409224,3.4676287876271954,3.485990450934059
0.10200000000000001,3.505007974195579,3.468208940097538,3.4866084571465583
0.10300000000000001,3.5055878493962345,3.4689198809811974,3.487253865188716
0.10400000000000001,3.5060240628576254,3.4691630351245557,3.4875935489910903
0.105,3.5065491,3.4697289680568466,3.488139034028423
